image;variant;q;cr;target_bytes;bytes;miss_pct;not_binding;enc_fps;enc_spread_pct;dec_fps;psnr;psnr_kind
2k;q85;85.0;;601703;601703;0.0;False;372.1;1.0749798441279226;;40.41974031193163;psnr
2k;cr-only;;10.230973829775253;601703;601832;0.02143914855003216;False;207.45;0.048204386599177786;;39.250306144043265;psnr
2k;q86+cr;86.0;10.246803959649162;601703;601709;0.0009971697000014958;False;228.4;0.08756567425568679;;40.40396189111583;psnr
2k;q87+cr;87.0;10.242944196511273;601703;601683;-0.003323899000004986;False;227.10000000000002;0.17613386173492102;;40.23063738512691;psnr
2k;q88+cr;88.0;10.230973829775253;601703;601986;0.04703317085007055;False;230.35;0.3038853917950895;;39.978599815197605;psnr
4k;q85;85.0;;1275547;1275547;0.0;False;194.45;0.3599897145795922;;41.97462340799068;psnr
4k;cr-only;;19.016216359183467;1275547;1275537;-0.0007839773838204315;False;126.6;0.15797788309636876;;41.23892139150233;psnr
4k;q86+cr;86.0;19.016216359183467;1275547;1276798;0.09807557071593599;False;145.05;0.3447087211306446;;42.000213311828986;psnr
4k;q87+cr;87.0;19.016216359183467;1275547;1276532;0.07722177230631251;False;142.7;0.2803083391730944;;41.88528373808449;psnr
4k;q88+cr;88.0;19.016216359183467;1275547;1274694;-0.06687327083988281;False;142.25;0.07029876977154498;;41.66549110171596;psnr
