bench_version;codec;direction;image;alg;mode;threads;batch;note;frames;boundary;total_ms;ms_per_frame;fps;mb_s;out_kb;cr;gpu_mem_mb;gpu_avail_mb;power_w;j_per_frame;j_per_frame_net;energy_j_counter;j_per_frame_counter;j_per_frame_diff;cpu_s;cores;gpu;sdk;pcie_mb_s;wall_s;cmd
2026-08-24.2;fv;E;2k;irrev;latency;1;1;;2057;no_h2d;5434.8;2.6421001458434614;378.5;2245;;;143.36;23285.76;146.60875000000001;0.4023730519298042;0.37166168953776074;;;;5.59375;0.9908314083146532;NVIDIA GeForce RTX 4090;0.23.1.0;25213;5.6455113887786865;D:\_Test\fvSDK-0.23.1.0-Win64-CUDA-13.3-Trial-Exp-2027-08-03\bin\x64\Release\J2kEncoderSample.exe -i 2k_wild.ppm -o tmp.jp2 -a irrev -c 32 -l 6 -q 85 -repeat 2057 -discard
2026-08-24.2;fv;E;2k;irrev;latency;1;1;;2057;no_h2d;5444.4;2.6467671366067087;377.8;2241;;;143.36;23285.76;110.46714285714286;0.302882536287829;0.2722014170572554;;;;5.625;0.9973489234485107;NVIDIA GeForce RTX 4090;0.23.1.0;25209;5.639951944351196;D:\_Test\fvSDK-0.23.1.0-Win64-CUDA-13.3-Trial-Exp-2027-08-03\bin\x64\Release\J2kEncoderSample.exe -i 2k_wild.ppm -o tmp.jp2 -a irrev -c 32 -l 6 -q 85 -repeat 2057 -discard
2026-08-24.2;fv;E;2k;irrev;latency;1;1;;2057;no_h2d;5447.2;2.648128342245989;377.6;2240;;;143.36;23285.76;110.0992857142857;0.30221859946301577;0.27150244988901046;;;;5.625;0.9962114932759727;NVIDIA GeForce RTX 4090;0.23.1.0;25281;5.64639139175415;D:\_Test\fvSDK-0.23.1.0-Win64-CUDA-13.3-Trial-Exp-2027-08-03\bin\x64\Release\J2kEncoderSample.exe -i 2k_wild.ppm -o tmp.jp2 -a irrev -c 32 -l 6 -q 85 -repeat 2057 -discard
2026-08-24.2;fv;D;2k;irrev;latency;1;1;;875;no_d2h;6102.8;6.974628571428572;143.4;;;;40.96;23285.76;101.26193548387097;0.7274776932620562;0.647087412860009;;;;6.25;0.9942566567604098;NVIDIA GeForce RTX 4090;0.23.1.0;25241;6.286103248596191;D:\_Test\fvSDK-0.23.1.0-Win64-CUDA-13.3-Trial-Exp-2027-08-03\bin\x64\Release\J2kDecoderSample.exe -i fv_ref_2k_irrev.jp2 -o tmp.ppm -repeat 875 -discard
2026-08-24.2;fv;D;2k;irrev;latency;1;1;;875;no_d2h;6098.9;6.970171428571428;143.5;;;;40.96;23285.76;99.65435483870968;0.7147134909207481;0.6344596577957698;;;;6.265625;0.9984369560561674;NVIDIA GeForce RTX 4090;0.23.1.0;25220;6.275433778762817;D:\_Test\fvSDK-0.23.1.0-Win64-CUDA-13.3-Trial-Exp-2027-08-03\bin\x64\Release\J2kDecoderSample.exe -i fv_ref_2k_irrev.jp2 -o tmp.ppm -repeat 875 -discard
2026-08-24.2;fv;D;2k;irrev;latency;1;1;;875;no_d2h;6114.2;6.987657142857143;143.1;;;;40.96;23285.76;99.47016129032258;0.715560610656035;0.6350628701339229;;;;6.265625;0.9954117014642436;NVIDIA GeForce RTX 4090;0.23.1.0;25274;6.294506072998047;D:\_Test\fvSDK-0.23.1.0-Win64-CUDA-13.3-Trial-Exp-2027-08-03\bin\x64\Release\J2kDecoderSample.exe -i fv_ref_2k_irrev.jp2 -o tmp.ppm -repeat 875 -discard
2026-08-24.2;fv;E;2k;irrev;throughput;8;1;;8230;all;4708.0;0.5720534629404618;1748.1;;;;1136.64;23285.76;193.20285714285714;0.11580478691239465;0.10909755915855496;;;;33.09375;6.7086197961951965;NVIDIA GeForce RTX 4090;0.23.1.0;25251;4.933019161224365;D:\_Test\fvSDK-0.23.1.0-Win64-CUDA-13.3-Trial-Exp-2027-08-03\bin\x64\Release\J2kEncoderSample.exe -i 2k_wild.ppm -o tmp.jp2 -a irrev -c 32 -l 6 -q 85 -repeat 8230 -async -thread 8 -b 1 -discard
2026-08-24.2;fv;E;2k;irrev;throughput;8;1;;8230;all;4663.9;0.5666950182260024;1764.6;;;;1136.64;23285.76;211.6677083333333;0.12611709125883158;0.11944980004895138;;;;33.0625;6.742431086888295;NVIDIA GeForce RTX 4090;0.23.1.0;25185;4.90364670753479;D:\_Test\fvSDK-0.23.1.0-Win64-CUDA-13.3-Trial-Exp-2027-08-03\bin\x64\Release\J2kEncoderSample.exe -i 2k_wild.ppm -o tmp.jp2 -a irrev -c 32 -l 6 -q 85 -repeat 8230 -async -thread 8 -b 1 -discard
2026-08-24.2;fv;E;2k;irrev;throughput;8;1;;8230;all;4660.6;0.5662940461725395;1765.9;;;;1136.64;23285.76;210.74541666666667;0.1254386674035846;0.11877822035592112;;;;33.265625;6.790825313711412;NVIDIA GeForce RTX 4090;0.23.1.0;25240;4.898612976074219;D:\_Test\fvSDK-0.23.1.0-Win64-CUDA-13.3-Trial-Exp-2027-08-03\bin\x64\Release\J2kEncoderSample.exe -i 2k_wild.ppm -o tmp.jp2 -a irrev -c 32 -l 6 -q 85 -repeat 8230 -async -thread 8 -b 1 -discard
2026-08-24.2;fv;D;2k;irrev;throughput;8;1;;3503;all;8535.9;2.4367399371966885;410.4;;;;348.16;23285.76;135.4332183908046;0.34096875507169633;0.3127966388465433;;;;67.4375;7.646662810174112;NVIDIA GeForce RTX 4090;0.23.1.0;25230;8.819206714630127;D:\_Test\fvSDK-0.23.1.0-Win64-CUDA-13.3-Trial-Exp-2027-08-03\bin\x64\Release\J2kDecoderSample.exe -i fv_ref_2k_irrev.jp2 -o tmp.ppm -repeat 3503 -async -thread 8 -b 1 -discard
