bench_version;codec;direction;image;alg;mode;threads;batch;note;frames;boundary;total_ms;ms_per_frame;fps;mb_s;out_kb;cr;gpu_mem_mb;gpu_avail_mb;power_w;j_per_frame;j_per_frame_net;energy_j_counter;j_per_frame_counter;j_per_frame_diff;cpu_s;cores;gpu;sdk;pcie_mb_s;wall_s;cmd
2026-08-24.2;fv;E;2k;irrev;latency;1;1;;2298;no_h2d;6047.1;2.6314621409921672;380.0;2255;;;143.36;23050.24;134.30290322580646;0.36544559415525535;0.33968717995585945;;;;6.21875;0.9945250905958527;NVIDIA GeForce RTX 4090;0.23.1.0;25198;6.252984523773193;D:\_Test\fvSDK-0.23.1.0-Win64-CUDA-13.3-Trial-Exp-2027-08-03\bin\x64\Release\J2kEncoderSample.exe -i 2k_wild.ppm -o tmp.jp2 -a irrev -c 32 -l 6 -q 85 -repeat 2298 -discard
2026-08-24.2;fv;E;2k;irrev;latency;1;1;;2298;no_h2d;6021.5;2.6203220191470846;381.6;2264;;;143.36;23050.24;108.78754098360656;0.294931023492647;0.2692670977022545;;;;6.203125;0.9956786862783795;NVIDIA GeForce RTX 4090;0.23.1.0;25187;6.230046987533569;D:\_Test\fvSDK-0.23.1.0-Win64-CUDA-13.3-Trial-Exp-2027-08-03\bin\x64\Release\J2kEncoderSample.exe -i 2k_wild.ppm -o tmp.jp2 -a irrev -c 32 -l 6 -q 85 -repeat 2298 -discard
2026-08-24.2;fv;E;2k;irrev;latency;1;1;;2298;no_h2d;6041.1;2.628851174934726;380.4;2257;;;143.36;23050.24;108.2575806451613;0.2944094832153891;0.26866552802996674;;;;6.296875;1.0075847136195686;NVIDIA GeForce RTX 4090;0.23.1.0;25251;6.24947452545166;D:\_Test\fvSDK-0.23.1.0-Win64-CUDA-13.3-Trial-Exp-2027-08-03\bin\x64\Release\J2kEncoderSample.exe -i 2k_wild.ppm -o tmp.jp2 -a irrev -c 32 -l 6 -q 85 -repeat 2298 -discard
2026-08-24.2;fv;D;2k;irrev;latency;1;1;;869;no_d2h;6037.8;6.947986191024166;143.9;;;;40.96;23050.24;99.71338709677418;0.7192577937795083;0.6509747454671817;;;;6.234375;0.9945853032397922;NVIDIA GeForce RTX 4090;0.23.1.0;25216;6.268316030502319;D:\_Test\fvSDK-0.23.1.0-Win64-CUDA-13.3-Trial-Exp-2027-08-03\bin\x64\Release\J2kDecoderSample.exe -i fv_ref_2k_irrev.jp2 -o tmp.ppm -repeat 869 -discard
2026-08-24.2;fv;D;2k;irrev;latency;1;1;;869;no_d2h;6029.6;6.9385500575374;144.1;;;;40.96;23050.24;98.27885245901639;0.7020457816375383;0.634423915712589;;;;6.1875;0.9967587991172134;NVIDIA GeForce RTX 4090;0.23.1.0;25235;6.207620143890381;D:\_Test\fvSDK-0.23.1.0-Win64-CUDA-13.3-Trial-Exp-2027-08-03\bin\x64\Release\J2kDecoderSample.exe -i fv_ref_2k_irrev.jp2 -o tmp.ppm -repeat 869 -discard
2026-08-24.2;fv;D;2k;irrev;latency;1;1;;869;no_d2h;6038.8;6.949136939010357;143.9;;;;40.96;23050.24;98.21098360655738;0.703064451541126;0.6352976681458203;;;;6.1875;0.9946272568410993;NVIDIA GeForce RTX 4090;0.23.1.0;25208;6.22092342376709;D:\_Test\fvSDK-0.23.1.0-Win64-CUDA-13.3-Trial-Exp-2027-08-03\bin\x64\Release\J2kDecoderSample.exe -i fv_ref_2k_irrev.jp2 -o tmp.ppm -repeat 869 -discard
2026-08-24.2;fv;E;2k;irrev;throughput;8;1;;9194;all;5217.0;0.5674352838807918;1762.3;;;;1136.64;23050.24;192.4737037037037;0.11439249901103499;0.10876639266178297;;;;36.859375;6.745549338903159;NVIDIA GeForce RTX 4090;0.23.1.0;25209;5.4642510414123535;D:\_Test\fvSDK-0.23.1.0-Win64-CUDA-13.3-Trial-Exp-2027-08-03\bin\x64\Release\J2kEncoderSample.exe -i 2k_wild.ppm -o tmp.jp2 -a irrev -c 32 -l 6 -q 85 -repeat 9194 -async -thread 8 -b 1 -discard
2026-08-24.2;fv;E;2k;irrev;throughput;8;1;;9194;all;5185.4;0.5639982597346095;1773.0;;;;1136.64;23050.24;210.5577358490566;0.12414583861228234;0.11856444363046821;;;;36.75;6.779409684617642;NVIDIA GeForce RTX 4090;0.23.1.0;25193;5.420825958251953;D:\_Test\fvSDK-0.23.1.0-Win64-CUDA-13.3-Trial-Exp-2027-08-03\bin\x64\Release\J2kEncoderSample.exe -i 2k_wild.ppm -o tmp.jp2 -a irrev -c 32 -l 6 -q 85 -repeat 9194 -async -thread 8 -b 1 -discard
2026-08-24.2;fv;E;2k;irrev;throughput;8;1;;9194;all;5196.1;0.5651620622144877;1769.4;;;;1136.64;23050.24;211.29444444444445;0.12489476012713362;0.11929927258812728;;;;37.28125;6.860090199175222;NVIDIA GeForce RTX 4090;0.23.1.0;25217;5.434513092041016;D:\_Test\fvSDK-0.23.1.0-Win64-CUDA-13.3-Trial-Exp-2027-08-03\bin\x64\Release\J2kEncoderSample.exe -i 2k_wild.ppm -o tmp.jp2 -a irrev -c 32 -l 6 -q 85 -repeat 9194 -async -thread 8 -b 1 -discard
2026-08-24.2;fv;D;2k;irrev;throughput;8;1;;3476;all;7996.5;2.300489067894131;434.7;;;;348.16;23050.24;137.65121951219513;0.3284702137811482;0.305881176468274;;;;63.3125;7.632973684980558;NVIDIA GeForce RTX 4090;0.23.1.0;25184;8.294604778289795;D:\_Test\fvSDK-0.23.1.0-Win64-CUDA-13.3-Trial-Exp-2027-08-03\bin\x64\Release\J2kDecoderSample.exe -i fv_ref_2k_irrev.jp2 -o tmp.ppm -repeat 3476 -async -thread 8 -b 1 -discard
2026-08-24.2;fv;D;2k;irrev;throughput;8;1;;3476;all;8328.1;2.395886075949367;417.4;;;;348.16;23050.24;126.74435294117647;0.3139560330896059;0.29050715830923135;;;;65.46875;7.603509042124161;NVIDIA GeForce RTX 4090;0.23.1.0;25181;8.610333681106567;D:\_Test\fvSDK-0.23.1.0-Win64-CUDA-13.3-Trial-Exp-2027-08-03\bin\x64\Release\J2kDecoderSample.exe -i fv_ref_2k_irrev.jp2 -o tmp.ppm -repeat 3476 -async -thread 8 -b 1 -discard
2026-08-24.2;fv;D;2k;irrev;throughput;8;1;;3476;all;7690.2;2.2123705408515533;452.0;;;;348.16;23050.24;129.44846153846154;0.2963647153229907;0.2746920963505951;;;;60.625;7.618024782219577;NVIDIA GeForce RTX 4090;0.23.1.0;25219;7.958099603652954;D:\_Test\fvSDK-0.23.1.0-Win64-CUDA-13.3-Trial-Exp-2027-08-03\bin\x64\Release\J2kDecoderSample.exe -i fv_ref_2k_irrev.jp2 -o tmp.ppm -repeat 3476 -async -thread 8 -b 1 -discard
2026-08-24.2;fv;E;2k;irrev;throughput;8;2;;9194;all;4776.0;0.519469219055906;1925.0;;;;2222.08;23050.24;208.6708;0.11599333701987408;0.11073130901846805;;;;33.65625;6.5855168265361845;NVIDIA GeForce RTX 4090;0.23.1.0;25176;5.110646724700928;D:\_Test\fvSDK-0.23.1.0-Win64-CUDA-13.3-Trial-Exp-2027-08-03\bin\x64\Release\J2kEncoderSample.exe -i 2k_wild.ppm -o tmp.jp2 -a irrev -c 32 -l 6 -q 85 -repeat 9194 -async -thread 8 -b 2 -discard
2026-08-24.2;fv;E;2k;irrev;throughput;8;2;;9194;all;4848.7;0.5273765499238634;1896.2;;;;2222.08;23050.24;222.90666666666667;0.12513665378867356;0.11982238798094456;;;;34.09375;6.605547087905418;NVIDIA GeForce RTX 4090;0.23.1.0;25189;5.161381721496582;D:\_Test\fvSDK-0.23.1.0-Win64-CUDA-13.3-Trial-Exp-2027-08-03\bin\x64\Release\J2kEncoderSample.exe -i 2k_wild.ppm -o tmp.jp2 -a irrev -c 32 -l 6 -q 85 -repeat 9194 -async -thread 8 -b 2 -discard
2026-08-24.2;fv;E;2k;irrev;throughput;8;2;;9194;all;4799.5;0.5220252338481618;1915.6;;;;2222.08;23050.24;222.6038;0.1237749595362699;0.11851137003200186;;;;34.0;6.65080475126186;NVIDIA GeForce RTX 4090;0.23.1.0;25203;5.112163305282593;D:\_Test\fvSDK-0.23.1.0-Win64-CUDA-13.3-Trial-Exp-2027-08-03\bin\x64\Release\J2kEncoderSample.exe -i 2k_wild.ppm -o tmp.jp2 -a irrev -c 32 -l 6 -q 85 -repeat 9194 -async -thread 8 -b 2 -discard
2026-08-24.2;fv;D;2k;irrev;throughput;8;2;;3476;all;5413.2;1.557307249712313;642.1;;;;655.36;23050.24;157.93175438596492;0.2616449942798884;0.2459621524063125;;;;43.046875;7.475132426193432;NVIDIA GeForce RTX 4090;0.23.1.0;25221;5.758677244186401;D:\_Test\fvSDK-0.23.1.0-Win64-CUDA-13.3-Trial-Exp-2027-08-03\bin\x64\Release\J2kDecoderSample.exe -i fv_ref_2k_irrev.jp2 -o tmp.ppm -repeat 3476 -async -thread 8 -b 2 -discard
2026-08-24.2;fv;D;2k;irrev;throughput;8;2;;3476;all;5385.2;1.5492520138089758;645.5;;;;655.36;23050.24;146.75857142857143;0.24089864597309976;0.22536001773399944;;;;42.578125;7.462354587785531;NVIDIA GeForce RTX 4090;0.23.1.0;25225;5.7057225704193115;D:\_Test\fvSDK-0.23.1.0-Win64-CUDA-13.3-Trial-Exp-2027-08-03\bin\x64\Release\J2kDecoderSample.exe -i fv_ref_2k_irrev.jp2 -o tmp.ppm -repeat 3476 -async -thread 8 -b 2 -discard
2026-08-24.2;fv;D;2k;irrev;throughput;8;2;;3476;all;5438.5;1.5645857307249713;639.1;;;;655.36;23050.24;146.1745614035088;0.24296940237700662;0.2272345896256114;;;;42.84375;7.415286284359972;NVIDIA GeForce RTX 4090;0.23.1.0;25253;5.777760744094849;D:\_Test\fvSDK-0.23.1.0-Win64-CUDA-13.3-Trial-Exp-2027-08-03\bin\x64\Release\J2kDecoderSample.exe -i fv_ref_2k_irrev.jp2 -o tmp.ppm -repeat 3476 -async -thread 8 -b 2 -discard
2026-08-24.2;fv;E;2k;irrev;throughput;16;2;;9194;all;5493.1;0.5974657385251251;1673.7;;;;4444.16;23050.24;195.48693548387098;0.13353284911645127;0.12706660390391467;;;;64.453125;10.262876495952929;NVIDIA GeForce RTX 4090;0.23.1.0;25182;6.28022027015686;D:\_Test\fvSDK-0.23.1.0-Win64-CUDA-13.3-Trial-Exp-2027-08-03\bin\x64\Release\J2kEncoderSample.exe -i 2k_wild.ppm -o tmp.jp2 -a irrev -c 32 -l 6 -q 85 -repeat 9194 -async -thread 16 -b 2 -discard
2026-08-24.2;fv;E;2k;irrev;throughput;16;2;;9194;all;5422.4;0.5897759408309767;1695.6;;;;4444.16;23050.24;204.1077049180328;0.13824560216838583;0.13183389442556018;;;;65.90625;10.583521022465382;NVIDIA GeForce RTX 4090;0.23.1.0;25284;6.227251768112183;D:\_Test\fvSDK-0.23.1.0-Win64-CUDA-13.3-Trial-Exp-2027-08-03\bin\x64\Release\J2kEncoderSample.exe -i 2k_wild.ppm -o tmp.jp2 -a irrev -c 32 -l 6 -q 85 -repeat 9194 -async -thread 16 -b 2 -discard
2026-08-24.2;fv;E;2k;irrev;throughput;16;2;;9194;all;5442.2;0.5919295192516859;1689.4;;;;4444.16;23050.24;204.21475409836066;0.1379540825270444;0.13155924912893363;;;;64.671875;10.412703725995382;NVIDIA GeForce RTX 4090;0.23.1.0;25132;6.210862874984741;D:\_Test\fvSDK-0.23.1.0-Win64-CUDA-13.3-Trial-Exp-2027-08-03\bin\x64\Release\J2kEncoderSample.exe -i 2k_wild.ppm -o tmp.jp2 -a irrev -c 32 -l 6 -q 85 -repeat 9194 -async -thread 16 -b 2 -discard
2026-08-24.2;fv;D;2k;irrev;throughput;16;2;;3476;all;3997.6;1.1500575373993096;869.5;;;;1310.72;23050.24;171.30533333333332;0.22271962323205244;0.21041213605483464;;;;61.25;13.553102607670992;NVIDIA GeForce RTX 4090;0.23.1.0;25193;4.519260406494141;D:\_Test\fvSDK-0.23.1.0-Win64-CUDA-13.3-Trial-Exp-2027-08-03\bin\x64\Release\J2kDecoderSample.exe -i fv_ref_2k_irrev.jp2 -o tmp.ppm -repeat 3476 -async -thread 16 -b 2 -discard
2026-08-24.2;fv;D;2k;irrev;throughput;16;2;;3476;all;4109.2;1.1821634062140391;845.9;;;;1310.72;23050.24;161.2986956521739;0.21452629233695508;0.20193612610024284;;;;64.265625;13.90110412229897;NVIDIA GeForce RTX 4090;0.23.1.0;25215;4.623059034347534;D:\_Test\fvSDK-0.23.1.0-Win64-CUDA-13.3-Trial-Exp-2027-08-03\bin\x64\Release\J2kDecoderSample.exe -i fv_ref_2k_irrev.jp2 -o tmp.ppm -repeat 3476 -async -thread 16 -b 2 -discard
2026-08-24.2;fv;D;2k;irrev;throughput;16;2;;3476;all;3984.9;1.146403912543153;872.3;;;;1310.72;23050.24;163.89377777777779;0.21368680244939525;0.20134447604538216;;;;60.703125;13.394177404802162;NVIDIA GeForce RTX 4090;0.23.1.0;25218;4.532053232192993;D:\_Test\fvSDK-0.23.1.0-Win64-CUDA-13.3-Trial-Exp-2027-08-03\bin\x64\Release\J2kDecoderSample.exe -i fv_ref_2k_irrev.jp2 -o tmp.ppm -repeat 3476 -async -thread 16 -b 2 -discard
2026-08-24.2;fv;E;2k;irrev;throughput;8;4;;9194;all;4843.3;0.526789210354579;1898.3;;;;4392.96;23050.24;212.00826923076923;0.12229321891473452;0.11683273202498463;;;;33.046875;6.2312664560815705;NVIDIA GeForce RTX 4090;0.23.1.0;25259;5.303396224975586;D:\_Test\fvSDK-0.23.1.0-Win64-CUDA-13.3-Trial-Exp-2027-08-03\bin\x64\Release\J2kEncoderSample.exe -i 2k_wild.ppm -o tmp.jp2 -a irrev -c 32 -l 6 -q 85 -repeat 9194 -async -thread 8 -b 4 -discard
2026-08-24.2;fv;E;2k;irrev;throughput;8;4;;9194;all;4896.5;0.5325755927778987;1877.7;;;;4392.96;23050.24;220.4579245283019;0.12852770028367924;0.12300879659239519;;;;33.328125;6.217780115447786;NVIDIA GeForce RTX 4090;0.23.1.0;25218;5.360132455825806;D:\_Test\fvSDK-0.23.1.0-Win64-CUDA-13.3-Trial-Exp-2027-08-03\bin\x64\Release\J2kEncoderSample.exe -i 2k_wild.ppm -o tmp.jp2 -a irrev -c 32 -l 6 -q 85 -repeat 9194 -async -thread 8 -b 4 -discard
2026-08-24.2;fv;E;2k;irrev;throughput;8;4;;9194;all;4855.7;0.5281379160321948;1893.4;;;;4392.96;23050.24;221.81924528301886;0.12842701250857597;0.12294627566872603;;;;32.859375;6.1730194104802685;NVIDIA GeForce RTX 4090;0.23.1.0;25011;5.323063611984253;D:\_Test\fvSDK-0.23.1.0-Win64-CUDA-13.3-Trial-Exp-2027-08-03\bin\x64\Release\J2kEncoderSample.exe -i 2k_wild.ppm -o tmp.jp2 -a irrev -c 32 -l 6 -q 85 -repeat 9194 -async -thread 8 -b 4 -discard
2026-08-24.2;fv;D;2k;irrev;throughput;8;4;;3476;all;3379.4;0.9722094361334868;1028.6;;;;1269.76;23050.24;183.8302702702703;0.1992929139577875;0.1890303323289727;;;;26.625;7.065371743712153;NVIDIA GeForce RTX 4090;0.23.1.0;25246;3.7683792114257812;D:\_Test\fvSDK-0.23.1.0-Win64-CUDA-13.3-Trial-Exp-2027-08-03\bin\x64\Release\J2kDecoderSample.exe -i fv_ref_2k_irrev.jp2 -o tmp.ppm -repeat 3476 -async -thread 8 -b 4 -discard
2026-08-24.2;fv;D;2k;irrev;throughput;8;4;;3476;all;3426.8;0.9858457997698504;1014.4;;;;1269.76;23050.24;174.42447368421054;0.19163936104305757;0.1812387444718704;;;;26.546875;6.951144939044794;NVIDIA GeForce RTX 4090;0.23.1.0;25228;3.8190650939941406;D:\_Test\fvSDK-0.23.1.0-Win64-CUDA-13.3-Trial-Exp-2027-08-03\bin\x64\Release\J2kDecoderSample.exe -i fv_ref_2k_irrev.jp2 -o tmp.ppm -repeat 3476 -async -thread 8 -b 4 -discard
